숙소id,지하철id,도보거리(m)
22514608,A11,323
22515792,J31,467
22530764,244,799
22531031,244,536
22797978,631,438
22396932,715,805
22401504,A54,332
22972832,701,301
22567430,246,1106
22851242,622,383
22852435,246,912
22980907,F27,815
22987769,A25,883
22998748,632,771
22862877,D33,155
22574255,D30,568
22582841,M11,288
22588755,M13,847
22601249,R08,458
22878715,D27,448
22881110,A20,316
23002904,Q04,329
23004107,M09,556
23021271,G13,402
22609277,713,683
22663674,122,146
22944348,A25,602
23027784,B08,159
23034152,121,561
23040115,G33,534
23045873,A49,451
23052180,J28,316
22951923,G33,321
22961758,D37,887
22964396,D27,799
22683699,114,511
23219361,S26,1366
23222680,629,359
23224129,413,342
23230395,G14,375
23235101,M11,1226
23052964,J29,266
23054855,L12,699
23056508,L06,1012
23059611,F18,510
23060192,249,518
23060916,J28,267
23579705,Q04,37
23586315,B06,134
23271535,G29,80
23273907,B19,1759
23275777,G11,310
23277230,B08,213
23593842,S27,1591
23597076,209,610
23061804,L05,306
23074259,252,1040
23074722,252,1040
23598012,115,36
23606804,A50,185
23088777,J31,810
23092823,222,593
23301706,B19,1759
23304812,626,228
23322737,113,219
23340718,J29,405
23344243,A31,136
23355382,629,271
23357738,636,405
23105764,707,2360
23109329,G35,317
23116453,612,328
23128067,L15,453
23130144,Q04,303
23631288,M18,552
23650568,F01,7475
23651443,D27,432
23656206,248,411
23139647,210,509
23147808,G18,1015
23170592,M05,2179
23661533,G05,1379
23369991,302,560
23376196,A48,686
23667332,249,464
23184752,G34,205
23202549,633,323
23208314,D03,398
23683924,M20,801
23692933,134,179
23393043,A54,658
23413509,J28,320
23416448,G32,569
23432542,B08,159
23712143,221,892
23435916,F25,760
23437788,B08,159
23438247,L13,396
23840461,A12,381
23841481,M16,639
23842721,A47,309
23844034,G12,434
23718065,G19,347
23726935,D30,796
23727037,246,1617
23727923,G19,369
23451337,R11,569
23454165,A06,379
23456621,G05,4402
23469535,604,720
23728057,A50,615
23728069,D29,331
23874196,G19,612
23901779,Q04,556
23747567,A27,304
23747957,622,467
23756498,246,483
23476922,A47,1062
23481234,709,1227
23485307,R27,349
23489726,J29,281
23509707,J23,321
23536265,Q05,494
23538486,632,346
23760365,A46,540
23763367,R04,813
23923562,A27,984
23924234,D32,398
23958542,L29,1405
23964830,625,384
23768711,701,265
23769218,701,511
23772767,L10,698
23780896,710,851
23784779,M21,528
23565676,701,492
23572577,M08,676
23785875,110,490
24016962,D40,726
24017521,622,317
24022894,L11,495
24024721,G05,4402
23792656,242,332
23799904,701,701
23809758,M09,499
23810398,A46,202
24057278,701,251
24057583,S29,1454
24059751,701,1671
24607378,H13,374
24607763,F34,324
24260247,D29,378
24267706,J28,244
24269196,247,605
24282118,230,305
24288869,M06,287
24611661,224,621
24626621,S03,318
24083125,L05,446
24115562,503,609
24632516,M09,440
24633702,D34,794
24312253,A18,420
24312535,A18,420
24331953,A21,439
24336268,L05,388
24350254,133,492
24644837,J29,264
24136172,L12,171
24136557,F14,369
24137869,A15,558
24657328,630,239
24677926,F14,385
24351719,M18,686
24352967,243,1082
24366897,A02,456
24369857,G32,153
24370001,225,290
24692025,713,327
24162261,705,364
24177410,J31,738
24178083,R34,499
24699045,G18,941
24375566,R01,468
24376374,L06,970
24398725,632,146
24699301,F01,506
24699891,R04,319
24700123,R04,439
24181763,J21,351
24186775,A49,359
24200751,M06,337
24206044,114,221
24438437,M05,583
24438564,M05,291
24468390,R43,736
24473230,D29,726
24473713,L05,543
24736896,F16,438
24910361,H15,2829
24912129,L08,432
24920771,701,1669
24921526,G05,3385
24493475,N06,596
24497080,F11,484
24497152,F11,484
24497202,632,248
24757612,A14,505
24758664,M10,552
24515198,714,487
24535218,E01,202
24540842,B10,192
24943768,631,448
24945253,H06,586
24948017,224,647
24799807,723,398
24805249,G29,516
24806110,D40,158
24541153,D40,651
24572398,F18,259
24580806,A06,440
24580943,A06,362
24960138,R24,342
24961967,L29,743
24968131,715,1041
24970982,F21,597
24816051,252,650
24821651,503,1071
24823404,701,1747
24833279,G05,4142
24834058,G05,4073
24836464,G05,4365
24596989,M23,445
24599452,F01,2874
24604281,224,364
25188424,A46,214
24845719,L08,646
24973698,G15,2810
24987685,F01,4128
24990534,A46,788
24992683,L12,74
24992835,A25,321
24993470,H13,296
24853936,G05,4305
24856606,G05,4299
25193004,D28,274
25232008,R13,360
25234732,Q04,622
25235760,R04,1034
24866378,D27,287
24889024,G35,803
24891549,G32,528
24893756,708,1206
24996332,707,1175
25007110,G05,3369
25031840,L05,141
25033659,A54,617
24907920,132,266
25251220,A20,157
25255024,503,634
25257884,116,299
25274961,G16,403
25277702,R11,763
25587778,G14,775
25071113,L06,654
25071168,D25,776
25082817,D38,420
25619849,L06,941
25294851,J29,278
25296394,601,351
25313204,G32,542
25317793,715,608
25626152,244,1261
25669472,F01,4850
25108878,J28,262
25112819,A11,88
25125914,A45,290
25132414,A47,650
25134311,Q05,70
25134894,M20,304
25678522,133,161
25689024,246,1453
25319136,A33,386
25321050,J21,415
25340524,635,379
25346963,627,656
25734018,D25,357
25765042,M08,261
25137887,H06,458
25138149,622,607
25140559,R04,510
25140787,R04,162
25141552,D32,604
25771285,D12,244
25781295,714,989
25350875,J29,169
25369739,F23,385
25371790,F21,1558
25781535,714,1008
25782818,L01,580
25784618,616,539
25163519,622,998
25182363,L10,678
25187576,A65,1573
25802121,125,324
25807815,A12,378
25425106,250,946
25443451,136,245
25456714,M18,249
25458237,248,149
25475944,219,638
25812079,251,1920
25812700,A49,625
25813796,252,477
25823670,626,527
26010424,A02,41
26013177,L29,1507
26026904,R36,555
26038825,A14,693
25476838,101,1983
25486302,632,248
25489369,133,334
25842433,G13,177
26040453,A46,229
26043558,J31,1101
26055709,250,383
26058634,130,108
26063230,246,555
26064779,A47,728
25885278,606,2188
25502145,F24,552
25503835,L28,689
25506725,L06,536
25518572,D33,109
25904988,A48,764
26074006,225,387
26110466,G05,4414
25519328,225,271
25537456,B08,159
25543393,L14,766
25909161,Q03,659
25917853,D26,496
26127981,726,652
26131606,631,287
26131794,631,287
26137379,D10,403
25940097,A16,346
25943177,714,1027
25944038,B06,5281
25944708,L05,364
26327452,A46,695
26327565,F01,2553
26331103,S30,3943
26332468,R32,756
26333975,S03,302
26149494,H09,207
26157426,F12,172
26163413,L05,372
26167182,636,350
25963570,G32,724
25970374,Q03,264
25972861,F05,2110
26357145,723,453
26385422,D14,303
26387674,A45,542
26217642,D32,825
26221105,M06,231
26228457,F25,285
25997748,G26,556
25997937,G26,471
26000019,A10,121
26002246,R11,940
26395296,Q04,368
26398257,708,2115
26398894,F01,226
26717141,705,844
26741585,F23,209
26741642,J28,194
26235873,G05,1671
26249051,628,510
26249544,M11,235
26743587,D30,460
26743923,634,75
26422113,252,2055
26450631,712,662
26452047,S22,9719
26747248,F22,1669
26294354,J30,288
26771366,B13,433
26774025,L06,929
26475612,L11,462
26476892,B12,206
26489146,F15,173
26489955,M21,526
26786964,F27,503
26803556,A46,681
26295421,S27,5961
26297631,246,500
26301985,J23,205
27054756,L08,521
26496505,F01,4328
26496511,L08,729
26516462,607,3194
26518547,607,3322
27067463,B13,710
26815201,F21,289
26835960,A27,802
26837834,226,456
26842735,133,479
26558970,503,1120
26559313,R08,450
26560159,249,886
26602263,226,136
26845561,J29,290
26865836,D15,305
27088022,S22,4216
27088254,621,608
27089541,A12,211
26867170,D15,305
26867635,D15,215
26874326,S30,1633
26874462,F24,584
26639925,608,720
26655705,503,1367
26660828,A15,254
26874813,132,131
26876289,M06,560
27134257,104,549
27136639,R08,182
27137651,633,666
27141013,247,3258
27141191,G12,197
26887521,224,538
26682755,701,575
27430644,G05,3669
26895166,623,241
27166074,A61,386
27166833,A61,555
27192720,M19,249
27200105,A47,254
27211525,N02,775
27225643,H13,519
26925980,M16,772
27454904,A15,323
27458304,B08,159
27468927,115,390
27470676,B08,159
27477710,701,2828
26949866,S03,254
26953399,D16,220
26953727,D16,189
27264926,701,1322
27287372,L11,187
26953759,R15,336
26954041,D15,231
27483961,G33,580
27488806,115,64
27498398,621,597
27499097,F01,2625
26982403,A25,254
26991656,B10,116
27015594,B10,124
27016931,504,1002
27291497,A47,988
27295492,621,569
27308432,S03,396
27312914,701,895
27314650,701,1115
27326744,301,702
27019732,R34,372
27503062,A03,297
27518599,L06,148
27032162,252,699
27052657,Q04,214
27523631,701,2758
27527902,M09,555
27528305,A25,307
27329048,713,282
27336179,220,283
27338569,622,35
27343189,503,1147
27359696,A54,779
27359897,A54,768
27361377,726,536
27697284,708,680
27702171,413,251
27703666,F01,7102
27705293,D12,162
27529655,701,1099
27551715,B18,790
27552868,F01,937
27706737,A46,394
27712922,R42,510
27371581,H12,313
27375052,B20,69
27394897,B19,292
27395171,701,1019
27714862,A47,1286
27724217,502,732
27569888,A06,143
27570485,A21,556
27584957,252,1332
27585912,252,1337
27731269,A47,703
27731372,L05,333
27409329,621,515
27416658,621,787
27426650,L13,359
27427289,A47,750
27429253,G14,804
27429817,701,559
28011594,D30,264
27598707,634,75
27606552,L12,95
27608063,G08,384
27609355,J31,483
27610245,F01,9159
27610367,H11,8066
27611047,245,496
27781833,G12,209
27782948,L13,201
27783586,L12,379
27785327,L16,98
27785672,L16,32
28012942,Q04,188
28014842,623,81
28015516,252,477
28041818,G05,3831
27627627,R23,186
27637065,A47,261
27658203,R36,431
27803575,S03,402
27808176,708,566
27823763,F21,1087
27829177,N02,632
28042014,G05,4242
28042224,A25,497
28082095,617,213
28084157,701,959
28312177,249,248
28314777,F02,1594
28324221,723,472
28329004,H11,8510
27866657,244,238
27874237,R33,455
27875757,F21,358
27891791,252,1585
28085121,S30,688
28096425,249,617
28100131,234,495
28108773,A21,421
28121595,S25,2217
28334760,A42,357
28339747,F01,6697
28340434,F01,6968
28350560,709,1035
27906875,A25,535
27909345,617,857
27910595,S23,8854
28130502,L03,281
27919104,225,276
27923577,F01,251
28368678,A42,357
28369552,A42,355
28379264,G32,264
28385105,715,651
27928809,L11,572
27933214,L29,4156
28136160,A27,483
28138470,D31,426
27952742,603,942
28389715,R08,388
28389782,B10,267
28391512,F01,3315
28408938,L08,176
28412322,F01,3792
27966667,F21,206
28155197,A47,629
28162058,225,615
28165121,D28,285
28177443,636,361
28181575,F18,612
27967621,S30,2134
28417682,714,749
28426648,A33,322
28430639,L08,596
28431924,R39,779
28433202,206,147
28001559,715,127
28009721,A06,659
28185576,R01,313
28188131,621,968
28200288,R18,283
28201587,A25,202
28206135,504,862
28208166,123,231
28608920,A20,195
28438216,F11,706
28438751,R06,419
28462811,D11,590
28483571,712,789
28626504,D30,329
28629956,D30,211
28220182,242,384
28494807,123,267
28500619,L08,440
28506359,A17,299
28635035,F01,4092
28647979,244,1140
28309641,F21,370
28936795,G14,339
28937377,A18,350
28667823,L11,491
28668546,244,664
28670390,244,1246
28671495,244,1407
28539464,F11,706
28541768,715,792
28684892,R24,342
28692232,501,1366
28697997,244,1272
28699232,244,1279
28952972,R14,88
28961919,F01,1926
28699654,244,1439
28560765,D30,389
28560837,H12,412
28561904,M10,855
28567040,504,1099
28715332,R23,153
28734298,G33,723
28965609,G32,185
28976484,M16,668
28991221,D14,195
28602842,L05,301
28607153,710,392
29256229,A47,537
28778214,621,837
28779900,244,998
28782669,709,1792
29008767,D24,381
29015079,L10,288
29016146,225,365
29016907,F01,2374
28785091,244,883
28785361,F11,706
28786315,244,794
28786900,244,637
28796546,J29,297
29260051,248,797
29269102,251,2167
29278439,M01,1610
29281407,G28,618
29038655,R03,978
29054576,D40,685
29058075,F07,1140
28817364,713,343
28833807,A32,403
28834703,A47,391
29331191,123,223
28838614,F01,3408
28838673,A47,824
29074233,249,384
29076107,R01,581
29079912,G19,647
29082508,D33,342
29095217,246,397
28849818,M18,505
28859648,L13,227
28861629,621,492
29331513,229,86
29338559,R03,254
29340028,Q03,422
29351570,L06,736
29356679,G12,200
28867577,A15,525
28872377,614,890
28896148,F01,3435
29097472,L08,918
29102760,707,1572
29104053,257,981
29105563,246,425
29117643,408,289
29124414,242,271
29124476,A02,454
28897533,G12,496
28897932,F01,3435
29358344,250,203
29359092,G13,282
29361650,M16,74
29385308,F21,714
29412402,L19,756
28901091,234,320
29148293,L05,548
29148550,632,248
28911775,F01,3435
28911830,601,480
28920018,L06,413
29585551,J29,356
29586511,225,326
29416565,R28,295
29431738,L06,482
29463847,224,696
29155895,M18,825
29158689,M11,146
29168569,244,1378
29170235,244,1125
29592296,R17,218
29592768,R03,752
29635253,M01,1663
29487347,A48,968
29493581,713,276
29495933,A25,485
29651529,F14,640
29237220,L01,629
29252044,F20,191
29654321,L11,517
29658021,622,309
29659322,M11,284
29889800,B06,757
29897911,A28,620
29901044,F21,1001
29903897,J29,784
29509877,R18,268
29514309,A48,707
29515670,A16,320
29683293,J17,367
29684573,245,1704
29904305,J29,784
29904478,J29,784
29906282,710,1397
29908937,D35,1427
29686857,M05,189
29535295,J19,446
29541214,622,929
29567201,607,3819
29567482,F23,193
29700761,F23,277
29923555,B10,309
29703513,637,52
29730504,L19,390
29575293,M08,258
30062290,249,1171
29929095,F01,5027
29929702,257,357
29930787,713,624
29935981,G26,647
29937451,L29,1735
29760980,F18,453
30065198,R34,572
30082832,G35,935
30084269,242,299
29775040,G36,669
29943061,A49,397
29943455,711,341
29944408,710,183
29946757,J31,599
29963575,H11,8183
29964348,B08,57
29794270,L29,1733
29795012,505,565
29797971,207,422
30087377,133,617
30089412,A45,509
30096719,G35,139
29967433,A11,107
29968121,701,851
29800915,505,837
29804246,225,382
29814549,248,687
30104723,G30,257
30105137,226,295
30106990,726,451
30107262,226,301
30109916,503,343
29824343,A12,201
29990168,J29,289
29993012,F24,701
30003335,S29,4163
30003453,F25,476
30125523,723,399
30125704,723,324
29831517,L28,1069
30006770,230,370
30021540,701,845
30021914,503,968
29847492,Q05,153
29851718,L06,400
30154255,L05,254
30156697,133,267
30162689,224,46
30169107,G32,815
29858182,204,1355
30031616,Q04,853
30033284,230,196
30034070,R18,281
30042363,R06,186
30043083,251,1969
29877448,B08,776
29881973,301,664
30174397,D06,93
30175606,J29,323
30182137,627,418
30264512,256,43
30268825,M19,52
30043966,J30,560
30046573,131,298
30053410,D41,692
30058948,701,581
30392806,E01,202
30392834,134,335
30279712,252,835
30392874,A25,254
30392909,632,346
30393018,R24,342
30201476,R24,342
30206047,625,382
30212741,G15,381
30284324,Q04,194
30393171,139,171
30393194,134,335
30393286,726,704
30393322,230,178
30286646,A06,434
30308289,119,223
30393414,626,527
30393497,123,223
30393555,123,223
30393609,229,236
30234773,219,650
30236202,J30,487
30252034,B06,562
30254229,A50,837
30326749,D27,703
30393689,M18,505
30393759,134,335
30393882,230,196
30393896,R24,342
30337531,R28,725
30511301,M14,164
30349066,B18,841
30352010,D41,817
30393998,A25,254
30394053,A25,254
30394071,R24,342
30394133,632,240
30394203,D19,63
30361847,235,324
30527994,F01,3740
30531246,G30,303
30394274,134,335
30394340,E01,202
30394380,A25,254
30394403,230,196
30396953,R34,637
30398938,R17,247
30378982,F20,413
30537134,702,1701
30537849,R32,725
30539307,A45,461
30387064,134,335
30387132,R24,342
30387196,A25,254
30387218,Q03,770
30387263,A36,113
30400542,712,272
30415541,G21,372
30421561,Q04,853
30387377,130,335
30557920,D39,1053
30558081,246,1662
30387445,A25,170
30387495,123,223
30387553,632,240
30387648,R24,342
30421981,M19,211
30423106,H11,6949
30425416,A49,576
30439073,721,396
30387820,D19,63
30565107,701,776
30570342,L20,903
30577273,224,234
30584992,M14,337
30387838,134,335
30387856,134,335
30387885,A25,254
30441489,124,1041
30442333,702,5254
30387916,R24,342
30387983,A25,254
30388011,A25,254
30388079,121,264
30388225,M18,505
30593915,701,2008
30594172,702,1706
30627356,226,80
30662063,237,593
30388313,632,240
30388528,E01,202
30447204,J31,375
30449111,D10,201
30465706,251,712
30470947,G09,840
30388552,A25,170
30388587,123,223
30388750,128,283
30388999,D19,63
30675435,A28,666
30677434,F03,2811
30685870,A47,303
30686973,M18,377
30389115,636,326
30389147,D19,63
30389192,230,196
30389280,230,196
30389441,R24,342
30389608,636,326
30392649,633,594
30392780,128,283
30474972,A12,309
30476455,F07,1077
30477526,227,258
30494093,A42,569
30499109,M08,644
30695144,L08,841
30699302,M16,862
30700892,225,570
30702161,621,529
30981877,Q05,279
30999134,G32,617
31001555,R13,406
30717086,247,1763
30717527,F09,344
30718403,247,1930
30736279,230,370
30702384,225,590
31019621,F12,345
31023111,G35,945
31038331,128,283
31038347,128,283
31212456,H11,7501
31212571,A25,725
31216136,L15,301
31216852,A30,381
30764476,Q05,518
30766643,901,406
30767659,R17,238
30769129,L13,147
31052694,L13,229
31053180,L13,229
31218310,S23,2083
31223352,D38,1067
31224224,301,637
31231904,J29,146
31236046,503,297
31057348,726,391
30788330,130,184
30793033,F05,761
30795672,253,527
30801068,711,699
30811789,302,819
31255471,A18,217
31277426,D30,264
31290477,L12,516
31074354,708,72
31084737,R24,342
31085028,A33,276
30822815,B06,51
30824853,L08,677
30842198,708,753
31085213,A28,484
31085554,A14,624
31085679,J31,469
31292757,726,484
31293625,115,221
31301754,A50,827
30856398,A44,309
30875053,224,227
31106666,J31,617
31311422,133,251
31313105,F01,7447
31313806,F36,297
31317744,221,1074
31322232,F01,5172
31119799,S30,1262
30915351,Q04,822
31121209,246,863
31127529,J31,645
31333074,A14,494
31339496,701,1866
31340666,A28,617
31127742,633,446
30932236,D09,458
30937756,723,357
30938864,R01,1272
31136603,A27,655
31146186,R03,829
31150305,L06,375
31382465,L19,561
31406873,A42,634
31165085,A48,531
31188378,726,358
31511563,123,253
31513692,416,742
31514475,504,392
31530711,122,383
31533518,F16,234
31201815,221,423
31434819,123,385
31435773,626,527
31445273,R06,319
31457396,F14,626
31459394,Q04,416
31466176,A15,507
31839994,701,2679
31539511,F01,7719
31543246,225,155
31549470,626,527
31854564,A64,215
31856192,701,3131
31467888,A18,285
31473340,G32,265
31474431,R40,89
31474638,R40,305
32238694,F11,735
32241239,247,1738
31857472,A14,534
31859909,D04,852
31881052,R34,702
31564614,R06,181
31582797,G32,1124
31584089,A28,246
31885991,G05,2301
32241276,707,2037
32242139,237,341
32292954,707,1774
31913609,J30,635
32306605,R11,749
31600379,R34,293
31602882,A46,749
31612381,114,296
31614670,251,2057
31622448,225,370
31623508,J29,974
31624317,J31,587
31626662,J30,797
31931665,248,270
31932152,205,539
31933373,J29,561
31934408,709,1103
31957975,S28,744
31663848,G29,245
31667621,R18,375
31668308,L10,301
31668461,L08,222
32327466,L01,160
32334635,133,555
32336400,624,366
32354513,A46,651
32364753,G12,460
31961126,H09,334
31978518,G36,182
31980794,121,338
31670943,D08,394
31689618,F24,758
32381165,S29,769
32382542,251,1989
32383114,251,2025
32392636,621,338
32400196,A14,389
32012464,708,196
31697123,A54,490
31715312,R17,293
31717837,A53,323
31722021,G22,226
31726939,R24,342
32036822,A07,130
32037535,234,515
32406935,J29,350
32448749,A44,620
32450788,M09,366
32463707,A31,159
32044146,G26,329
31732450,J17,239
31737653,A10,288
31758231,D07,332
31760509,A16,235
31760941,619,526
32062843,701,2449
32081249,L19,857
32088018,715,1960
31794109,A28,246
31831929,R28,781
32095900,S17,1293
32102590,R17,288
32494256,G34,358
32495242,A46,72
32495771,245,812
32499495,F21,986
32501003,Q03,361
32502180,S17,802
32520381,F21,492
32108317,A46,714
32137481,A32,156
32531409,F01,902
32541475,632,477
32544596,J29,294
31834190,G15,140
32591286,G12,321
32607488,255,348
32611458,A49,585
32611977,D05,789
32171100,A10,318
32189288,726,424
32549155,J31,767
32552611,224,590
32575528,712,464
32616393,A53,651
32617384,A52,560
32618577,255,356
32618640,255,411
32619108,255,512
32634041,H11,1513
32636494,A16,147
32233982,713,214
32234674,R24,342
32235802,L01,275
33423849,F06,650
32666534,D25,77
32669154,G32,235
32670456,122,512
32589616,A07,206
32590674,723,711
32933643,Q05,329
32935473,R03,343
32940047,613,486
32940382,613,486
32943764,225,151
33427025,G33,253
32670715,D39,2094
32701542,714,936
32705496,A16,426
32714790,A10,291
32721564,J13,534
32742238,J23,296
33439687,J16,1785
33442531,M18,534
33448577,F11,706
33451456,J28,235
32959357,F05,2135
32990477,L08,1091
33005220,411,279
33010488,F11,405
33012494,L08,165
32746895,A46,413
32790563,227,281
32798710,603,942
33467371,Q03,222
32799550,603,942
32801102,632,738
32801214,603,942
32809387,H06,595
33038705,L11,1051
33055126,A25,51
33061311,A49,592
33491707,F24,183
33516105,M18,683
33521985,F01,3986
33070946,M16,1041
33094622,F01,4221
33097219,S27,1797
33101073,Q03,792
33101286,133,141
33127307,F01,4097
33133494,118,293
32820849,A48,882
32836242,L02,33
32842295,247,2182
32844072,708,2110
32845010,F01,2854
32845331,A45,672
32845516,G33,642
33533601,F16,411
33534624,F16,158
33546854,M11,559
32847146,A06,327
32856048,134,335
32857378,A46,638
32857674,S01,490
32858018,S01,485
33135950,D28,390
33138120,R14,178
33141938,108,275
33155194,A47,662
33559960,635,193
33560323,F26,581
33580893,L02,343
32865732,D26,210
32890299,S30,783
32894678,J29,190
32913140,F21,1628
33580907,L02,295
33156370,251,708
33162983,A17,437
33168922,601,2213
33169141,707,1879
33175415,F38,602
33180845,A11,252
33582776,F14,608
33589554,H11,8003
32915763,A48,721
32923358,A20,402
32926070,726,704
32926087,726,704
33607399,230,307
33214803,D07,589
33242348,S24,3927
33611809,633,747
33613736,D04,550
33632312,L26,394
33752082,711,971
33765725,503,257
33772218,R17,244
33776576,G18,466
33785477,M10,291
33820675,F06,650
33635511,A12,486
33269114,420,206
33269801,G05,2295
33271828,R34,403
33273859,236,322
33642266,F14,600
33653706,Q03,282
33823598,F01,4199
33826205,A45,552
33829619,J12,809
33654747,638,113
33660911,R04,783
33340151,302,477
33346826,632,237
33348910,701,1456
33664484,F06,2233
33677607,252,896
33683407,632,790
33835992,L27,191
33849970,G12,275
33852604,242,455
33853465,L16,200
33873570,252,2333
33684621,125,375
33689653,245,292
33387469,633,306
34059931,121,295
33689832,114,574
33705274,121,54
33873780,243,471
33875614,225,494
33877798,Q04,99
33883497,A46,424
33883949,504,866
33716043,111,188
34072049,632,322
33735398,L20,718
34337805,M05,335
34339330,A25,677
33907325,603,942
33910078,J31,427
34340192,638,293
34084359,257,1492
34087005,G05,3269
34340357,225,303
34343752,A30,297
34358402,A42,385
34362677,R22,612
33936370,L20,941
33937466,R03,540
33961505,M10,639
33974082,R06,187
34363916,G28,481
34114232,A49,517
34116575,Q04,386
34118590,J30,362
34119451,L05,341
34123251,F23,287
34127215,M16,264
34136999,R24,342
34370526,225,363
34384911,R24,342
33974640,R06,349
33974777,R05,480
33982630,133,267
33989681,A42,485
33999874,R06,337
34384958,Q04,245
34138042,230,196
34142214,D10,470
34150118,622,1122
34169395,R24,342
34017965,N09,332
34022740,252,464
34433947,243,230
34172085,109,284
34175118,M19,309
34181803,A27,904
34183108,G32,802
34197959,D01,412
34202651,120,298
34468721,L29,2626
34478311,F21,116
34051551,J14,281
34596961,A55,362
34600024,J31,395
34603173,D41,474
34604981,R04,373
34478719,225,737
34480008,256,123
34485317,D14,306
34485693,D14,306
34205576,G30,494
34206567,M18,914
34230593,Q04,412
34231172,R40,259
34234215,F01,5191
34253845,G29,499
34485694,D14,306
34485696,D14,306
34485697,D14,306
34485698,D14,306
34485699,D14,306
34485702,D14,306
34485742,D16,156
34487491,R14,62
34616078,J14,317
34620162,F01,4901
34641992,225,246
34651319,134,326
34491852,126,142
34491916,126,142
34255449,113,270
34256727,S24,1359
34258883,S23,68
34272580,249,295
34278935,S31,595
34279388,114,257
34491918,126,142
34493830,S30,1101
34281515,D40,264
34287923,M21,595
34289855,633,140
34313601,238,607
34315737,F29,638
34510977,A44,666
34656064,L16,1801
34659944,A31,789
34667590,220,495
34670672,H06,412
34673353,D14,235
34517087,633,88
34535182,L29,2658
34537321,R11,531
34539406,L29,2779
34542125,L13,511
34687035,711,1009
34705719,A16,349
34709283,A15,409
34718010,A50,632
34327434,L16,42
34335995,L06,1102
34336135,G05,3732
34337267,D30,264
34897863,A25,331
34542550,M14,369
34544360,633,414
34568831,R44,462
34592979,638,325
34592997,D09,699
34905459,F09,145
34907049,G32,288
34907354,D26,646
34907479,225,312
34909026,A47,96
34909594,R34,420
34593016,A21,477
34737998,D30,264
34738463,225,373
34741981,701,1022
34742861,D30,264
34745490,243,1169
34746284,M13,581
34593055,A21,477
35154803,R14,67
34784910,M16,932
35154913,R14,67
35155873,S30,2574
34926055,625,140
34971449,632,645
34972982,632,615
35166718,R18,217
34815470,A32,231
34819702,F26,572
35172393,243,979
34974475,J17,407
34978738,A61,819
34980223,D22,229
34994129,121,309
35183293,F25,545
35186258,633,179
35186404,A49,749
35191797,626,150
34998955,632,219
35000464,632,486
35005373,632,357
35007394,D35,437
35012500,H11,7024
35197500,F01,4759
34844071,S24,1548
34860207,J13,493
34863999,711,1028
35203931,726,390
35222567,L29,2464
35224560,713,159
34866682,250,650
34866786,121,285
34866897,A50,653
34868859,632,518
35025921,121,435
35026161,121,457
35038426,R18,301
35043094,F01,7295
35045823,D01,578
35231370,R11,288
35231916,G20,201
35232819,R43,199
35235212,G11,986
35235326,M08,674
35076834,J29,362
35078721,J22,364
35081665,J17,468
35085826,F01,2794
35423560,Q05,687
35428996,F11,686
35430378,H11,7975
35431400,A33,379
35454756,R05,1241
35235379,G11,902
35236534,G14,939
35249458,D10,1233
35254823,226,395
35114037,115,351
35258943,243,284
35479956,G36,1093
35490967,133,267
35491909,A53,122
35493937,723,849
35496842,502,1293
35267276,G14,921
35267302,G14,478
35120222,R06,663
35128367,A44,263
35136523,A60,1988
35136809,A60,1894
35269083,J31,360
35497497,A42,918
35509087,G36,1108
35510876,A28,409
35511098,A28,395
35513883,N02,460
35147929,A42,325
35149019,F18,222
35149180,F18,438
35149282,F18,685
35149452,F18,462
35149540,M09,150
35149749,F18,459
35304260,714,906
35310193,G22,364
35315339,R42,485
35324178,R42,456
35520176,225,387
35523432,M10,61
35334728,L08,736
35154411,R14,67
35154668,R14,67
35683483,627,332
35684442,115,299
35354567,A55,520
35536969,G34,588
35539586,R08,237
35539856,R08,237
35369883,R03,1068
35712515,G05,3732
35713310,R14,197
35713334,R14,172
35716479,114,374
35384123,F01,7190
35387629,250,680
35540158,R08,237
35540308,R08,358
35540417,R08,237
35545194,701,428
35545434,D19,205
35545525,D19,245
35408266,301,727
35719652,226,363
35732634,245,42
35766431,A46,477
35409445,G05,3074
35422599,G05,4486
35768873,G33,335
35774669,G28,289
35995460,M23,586
35545595,D19,140
35545650,D19,314
35546298,211,381
35548721,M10,423
35569130,A55,632
35996222,503,766
35998531,D39,1376
36004196,M05,2607
36036842,630,322
35797866,A25,316
35806920,D05,284
35808578,L28,1080
35822763,A46,672
35829570,G32,363
35837998,A17,409
35575345,A55,124
35579364,L08,83
35580609,F14,670
35581315,B12,482
35595727,L15,409
36063144,G33,409
35840564,R04,647
35840685,250,411
35843321,M16,554
35863145,248,602
35868549,723,884
36080023,D08,522
35599507,A49,345
35600877,B12,481
35601251,B12,597
35603341,Q05,333
35608098,111,475
35614233,H06,46
36085870,215,1375
36101436,R44,561
36108534,121,232
35875858,J17,406
35876828,708,645
35878938,M11,712
35880719,M19,323
35893569,F14,595
35619073,S31,648
35646199,D06,730
35654798,D08,582
35655950,F06,1039
36134670,301,721
36137613,A48,904
35896695,G33,386
35898731,J17,445
35901159,M19,330
35906886,M19,291
35907916,709,832
35914632,130,281
35915030,236,424
35917584,J31,59
35929196,R32,709
36145317,H12,215
36274279,715,867
36300378,J31,401
36302523,129,124
36147561,M20,137
35934018,F04,301
35938640,L29,914
35944106,637,388
35962668,F11,316
36315759,A36,113
36315828,R24,342
36152646,245,73
36197791,G33,389
