stop_id,stop_name,stop_lat,stop_lon
400228,ADAM C POWELL BLVD/W 116 ST,40.803426,-73.952158
400230,ADAM C POWELL BLVD/W 121 ST,40.806598,-73.949844
400231,ADAM C POWELL BLVD/W 123 ST,40.80752,-73.949175
400233,ADAM C POWELL BLVD/W 127 ST,40.810475,-73.947009
400234,ADAM C POWELL BLVD/W 129 ST,40.811718,-73.946105
400235,ADAM C POWELL BLVD/W 131 ST,40.812958,-73.945197
400236,ADAM C POWELL BLVD/W 133 ST,40.81419,-73.9443
400237,ADAM C POWELL BLVD/W 135 ST,40.815549,-73.943309
400238,ADAM C POWELL BLVD/W 139 ST,40.818034,-73.94149
400239,ADAM C POWELL BLVD/W 141 ST,40.819296,-73.940571
400240,ADAM C POWELL BLVD/W 143 ST,40.820515,-73.939681
400241,ADAM C POWELL BLVD/W 145 ST,40.821878,-73.938687
400242,ADAM C POWELL BLVD/W 147 ST,40.823169,-73.937752
400248,EDGECOMBE AV/W 155 ST,40.830904,-73.940279
400249,EDGECOMBE AV/W 158 ST,40.832912,-73.939461
400250,EDGECOMBE AV/W 160 ST,40.834045,-73.938133
400251,EDGECOMBE AV/W 162 ST,40.835242,-73.937496
400252,EDGECOMBE AV/W 164 ST,40.836657,-73.936852
400258,BROADWAY/W 168 ST,40.841041,-73.939971
400259,W 166 ST/SAINT NICHOLAS AV,40.839624,-73.940184
400263,EDGECOMBE AV/W 164 ST,40.836219,-73.937231
400264,EDGECOMBE AV/W 162 ST,40.835011,-73.937775
400265,EDGECOMBE AV/W 160 ST,40.833653,-73.938817
400266,EDGECOMBE AV/W 158 ST,40.832421,-73.939905
400267,EDGECOMBE AV/W 155 ST,40.830618,-73.940438
400268,W 155 ST/EDGECOMBE AV,40.830182,-73.939846
400271,ADAM C POWELL BLVD/W 154 ST,40.827574,-73.935345
400272,ADAM C POWELL BLVD/W 151 ST,40.825776,-73.936202
400274,ADAM C POWELL BLVD/W 148 ST,40.823366,-73.938028
400275,ADAM C POWELL BLVD/W 145 ST,40.821387,-73.939471
400276,ADAM C POWELL BLVD/W 142 ST,40.819535,-73.94082
400277,ADAM C POWELL BLVD/W 140 ST,40.818303,-73.941721
400278,ADAM C POWELL BLVD/W 138 ST,40.817028,-73.942661
400279,ADAM C POWELL BLVD/W 135 ST,40.815277,-73.943909
400280,ADAM C POWELL BLVD/W 132 ST,40.813155,-73.945461
400281,ADAM C POWELL BLVD/W 130 ST,40.812037,-73.946257
400282,ADAM C POWELL BLVD/W 128 ST,40.810701,-73.947255
400283,ADAM C POWELL BLVD/W 125 ST,40.80918,-73.948379
400284,ADAM C POWELL BLVD/W 122 ST,40.806837,-73.950097
400285,ADAM C POWELL BLVD/W 120 ST,40.805602,-73.950997
400287,ADAM C POWELL BLVD/W 116 ST,40.803591,-73.952433
400288,ADAM C POWELL BLVD/W 114 ST,40.801714,-73.953836
400289,ADAM C POWELL BLVD/W 112 ST,40.80046,-73.95475
400290,CENTRAL PARK NORTH/ADAM C POWELL BLVD,40.799173,-73.95486
400292,CENTRAL PARK NORTH/5 AV,40.797099,-73.949858
400316,5 AV/W 56 ST,40.761999,-73.974749
400322,5 AV/W 39 ST,40.75131,-73.982589
400323,5 AV/W 36 ST,40.749477,-73.983921
400324,5 AV/W 33 ST,40.747494,-73.985338
400325,5 AV/W 31 ST,40.746263,-73.986268
400327,5 AV/W 26 ST,40.743534,-73.988188
400329,5 AV/W 23 ST,40.74124,-73.990062
400330,5 AV/W 20 ST,40.739407,-73.99126
400331,5 AV/W 17 ST,40.73767,-73.992523
400333,5 AV/W 12 ST,40.734469,-73.994847
400334,5 AV/W 10 ST,40.733223,-73.995749
400335,E 8 ST/5 AV,40.731996,-73.995926
400336,E 8 ST/UNIVERSITY PL,40.731417,-73.994502
400337,E 8 ST/MERCER ST,40.730576,-73.99259
400352,MADISON AV/E 30 ST,40.74551,-73.984493
400353,MADISON AV/E 32 ST,40.746763,-73.983626
400354,MADISON AV/E 34 ST,40.748328,-73.982437
400358,MADISON AV/E 45 ST,40.755233,-73.977403
400360,MADISON AV/E 49 ST,40.757429,-73.975822
400362,MADISON AV/E 55  ST,40.761386,-73.972943
400363,MADISON AV/E 57 ST,40.762702,-73.971997
400364,MADISON AV/E 60  ST,40.76457,-73.970598
400390,CATHEDRAL PKWY/FREDERICK DOUGLASS BLVD,40.80078,-73.958486
400394,MANHATTAN AV/W 116 ST,40.804877,-73.956842
400395,MANHATTAN AV/W 119 ST,40.807171,-73.955168
400396,MANHATTAN AV/W 121 ST,40.808447,-73.954236
400397,SAINT NICHOLAS AV/W 125 ST,40.811052,-73.952325
400398,SAINT NICHOLAS AV/W 127 ST,40.812206,-73.951155
400399,SAINT NICHOLAS AV/W 130 ST,40.814014,-73.949575
400400,SAINT NICHOLAS AV/W 133 ST,40.815562,-73.948647
400401,SAINT NICHOLAS AV/W 135 ST,40.816973,-73.948012
400403,SAINT NICHOLAS AV/W 139 ST,40.82015,-73.946481
400404,SAINT NICHOLAS AV/W 141 ST,40.821124,-73.946034
400405,SAINT NICHOLAS AV/W 144 ST,40.823278,-73.945037
400406,SAINT NICHOLAS AV/W 145 ST,40.824338,-73.944408
400408,SAINT NICHOLAS AV/W 151 ST,40.828325,-73.942272
400409,SAINT NICHOLAS AV/W 153 ST,40.829645,-73.941744
400418,SAINT NICHOLAS AV/W 170 ST,40.842529,-73.938555
400419,SAINT NICHOLAS AV/W 173 ST,40.844406,-73.937188
400422,SAINT NICHOLAS AV/W 179 ST,40.848225,-73.934397
400423,SAINT NICHOLAS AV/W 181 ST,40.849572,-73.933416
400426,SAINT NICHOLAS AV/W 187 ST,40.853358,-73.930644
400448,SAINT NICHOLAS AV/W 192 ST,40.856246,-73.928691
